planet_name,planet_mass,planet_radius,star_name,star_distance_to_us (pc),star_mass,star_radius,star_sp_type,has_atmospere
TOI-1136 g,0.0151,0.2257,TOI-1136,84.536,1.022,0.968,,
TOI-1201 b,0.01976,0.21545,TOI-1201,37.636,0.512,0.508,M2V,
TOI-122 b,0.0277,0.2427,TOI-122,62.23,0.312,0.334,,
TOI-1231 b,0.0485,0.3256,TOI-1231,27.4932,0.485,0.476,M3V,
TOI-1235 b,0.0186,0.15113,TOI-1235,39.68,0.63,0.619,M0.5V,
TOI-1238 b,0.01183,0.1079,TOI-1238,70.6424,0.59,0.58,,
TOI-1238 c,0.02618,0.1882,TOI-1238,70.6424,0.59,0.58,,
TOI-1246 b,0.0255,0.2685,TOI-1246,170.7,0.87,0.86,,
TOI-1246 c,0.0277,0.2239,TOI-1246,170.7,0.87,0.86,,
TOI-1246 d,0.0167,0.3131,TOI-1246,170.7,0.87,0.86,,
TOI-1246 e,0.0466,0.3372,TOI-1246,170.7,0.87,0.86,,
TOI-1247 b,0.0179,0.2239,TOI-1247,73.8713,1.02,1.076,,
TOI-125 b,0.0299,0.2432,TOI-125,111.4,0.859,0.848,K0V,
TOI-125 c,0.02086,0.24614,TOI-125,111.4,0.859,0.848,K0V,
TOI-125 d,0.0428,0.2614,TOI-125,111.4,0.859,0.848,K0V,
TOI-1259A b,0.441,1.022,TOI-1259A,118.11,0.68,0.739,,
TOI-1260 b,0.02693,0.215,TOI-1260,73.41,0.66,0.65,K6V,
TOI-1260 c,0.0415,0.2462,TOI-1260,73.41,0.66,0.65,K6V,
TOI-1260 d,0.03725,0.2783,TOI-1260,73.41,0.66,0.65,K6V,
TOI-1266 b,0.05,0.2114,TOI-1266,36.05,0.45,0.42,M2,
TOI-1266 c,0.0201,0.1392,TOI-1266,36.05,0.45,0.42,M2,
TOI-1268 b,0.29,0.82,TOI-1268,110.0,0.96,0.92,K1-K2,
TOI-1272 b,0.0774,0.3693,TOI-1272,,,,,
TOI-1298 b,0.356,0.841,TOI-1298,319.0,1.44,1.412,,
TOI-132 b,0.07183,0.306,TOI-132,164.47,0.97,0.9,G8V,
TOI-1338 b,0.0686,0.5986,TOI-1338,399.0,,3.1,,
TOI-1410 b,0.03338,0.289359,TOI-1410,72.75,0.71,0.78,,
TOI-1411 b,0.0079,0.1213,TOI-1411,32.5,0.59,0.66,K6V,
TOI-1416 b,0.01095,0.1445,TOI-1416,55.044,0.798,0.793,G9V,
TOI-1416 c,0.068,,TOI-1416,55.044,0.798,0.793,G9V,
TOI-1420 b,0.079,1.0608,TOI-1420,201.84,0.987,0.923,,
TOI-1422 b,0.028,0.3533,TOI-1422,154.56,0.981,1.019,G2V,
TOI-1430 b,0.022,0.187,TOI-1430,41.24,0.843,0.789,K2V,
TOI-1442 b,0.005,0.1044,TOI-1442,41.2,0.29,0.31,,
TOI-1444 b,0.01218,0.12463,TOI-1444,125.0,0.934,0.907,,
TOI-1452 b,0.01517,0.14917,TOI-1452,30.5043,0.249,0.275,M4,
TOI-1468 b,0.0101,0.1142,TOI-1468,24.72,0.339,0.344,M3.0V,
TOI-1468 c,0.02089,0.18414,TOI-1468,24.72,0.339,0.344,M3.0V,
TOI-1470 b,0.02303,0.1945,TOI-1470,51.9503,0.471,0.469,,
TOI-1470 c,0.02278,0.2204,TOI-1470,51.9503,0.471,0.469,,
TOI-1471 b,0.031,0.348,TOI-1471,62.29,1.022,0.9662,,
TOI-1471 c,0.0576,0.29824,TOI-1471,62.29,1.022,0.9662,,
TOI-1473 b,0.034,0.2186,TOI-1473,67.6203,1.09,0.99,,
TOI-1478 b,0.847,1.06,TOI-1478,153.0,0.946,1.05,,
